Categorias,Categorias-Href,,Productos-Href,Nombre,Descripcion,Precio,Url-Imagen,SKU
Cuidado-del-Cabello,https://www.gpsfarma.com/cuidado-del-cabello.html,,https://www.gpsfarma.com/cuidado-del-cabello/kit-coloracion-71-rubio-ceniza.html,Kit-Coloración-71-Rubio-Ceniza,"Soft-Color-es-el-tinte-sin-amoníaco-de-Wella,-perfecto-para-vos-que-querés-tener-un-color-más-brillante-y-un-cabello-sedoso.-Su-sistema-Multitratamiento-está-hecho-de-ingredientes-naturales,-suaves-para-los-cabellos-tratados-químicamente.-Por-eso-Soft-Color-es-la-forma-más-saludable-de-Wella-para-teñir-tu-cabello.","$-177,90",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/3/231401-7501078284949.jpg,7501078284949
Cuidado-Oral,https://www.gpsfarma.com/cuidado-oral.html,,https://www.gpsfarma.com/cuidado-oral/kids-fresantastico.html,Crema-Dental-Kids-Fresa-Aventura-x-50-gr,"Colgate-Kids-ofrece-protección-contra-las-caries.-Su-fórmula-con-flúor-activo-clínicamente-comprobado,-fortalece-el-esmalte-de-los-dientes-dejándolos-fuertes-y-protegidos.-Su-delicioso-sabor-agrada-a-los-niños-y-ayuda-a-adquirir-el-buen-hábito-de-cepillarse-los-dientes.-Delicioso-y-refrescante-sabor-de-fresa.-Con-figuras-coleccionables-que-se-encuentran-en-el-interior-del-empaque!","$-35,11",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/8/7891024034095.jpg,7891024034095
Cuidado-Oral,https://www.gpsfarma.com/cuidado-oral.html,,https://www.gpsfarma.com/cuidado-oral/complete-limpieza-profunda-3.html,Complete-Limpieza-Profunda,"Pasta-dental-que-brinda-limpieza-profunda.-Llega-inclusive-a-áreas-difíciles-de-alcanzar-por-el-cepillo,-para-una-boca-fresca-por-largo-tiempo.-Con-un-cepillado-regular-ayuda-a-combatir-la-caries-y-el-sarro,-a-refrescar-el-aliento-y-a-blanquear-los-dientes-al-remover-suavemente-manchas-superficiales.","$-125,03",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/5/7506309816258-1.jpg,7506309816258
Cuidado-Personal,https://www.gpsfarma.com/cuidado-personal-1.html,,https://www.gpsfarma.com/cuidado-personal-1/creme-soft-44e875.html,Creme-Soft,Sentí-tus-manos-más-suaves-todos-los-días-con-el-jabón-líquido-para-manos-Creme-Soft.,"$-94,08",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/0/4005900120250.jpg,4005900120250
Nutrición,https://www.gpsfarma.com/nutricion-1.html,,https://www.gpsfarma.com/nutricion-1/suplemento-dietario-fitoesteroles-y-aceite-de-chia-x-30-un.html,Suplemento-Dietario-Fitoesteroles-y-Aceite-de-Chia-x-30-un,"Suplemento-dietario-a-base-de-fitoesteroles-y-aceite-de-chia-x-30-cápsulas-blandas.-Ayuda-a-reducir-los-niveles-de-colesterol-y-trigliceridos.-Doble-acción-para-tu-corazón:-Son-esteroles-naturales-de-origen-vegetal,-de-estructura-química-similar-al-colest","$-366,16",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/3/231405-7796285278427.jpg,7796285278427
Electro,https://www.gpsfarma.com/electro.html,,https://www.gpsfarma.com/electro/eks-9877-digital.html,EKS-9877---Digital,"Indicador-de-masa-muscular,-grasa-corporal-e-hidratación.-Sistema-de-sensores-de-alta-precisión.-Modo-atleta:-analizador-corporal-específico-para-deportistas.-Memoria:-12-usuarios.-Encendido-por-contacto-y-apagado-automático.-Indicador-de-batería-baja-y-sobrecarga.-Batería-incluída.-Amplio-display-LCD,-capacidad-hasta-180-kg.","$-1.209,00",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7790808034439_1.jpg,7790808034439
Perfumes-y-Fragancias,https://www.gpsfarma.com/perfumes-y-fragancias.html,,https://www.gpsfarma.com/catalog/product/view/id/14669/s/very-irresistible/category/165/,Very-Irrésistible,"Very-Irrésistible-de-Givenchy-es-una-fragancia-moderna-y-floral.-Para-una-mujer-que-se-siente-naturalmente-bella-y-elegante,-pero-también-le-gusta-lucir-más-sofisticada,-intensa-y-sensual.-La-fragancia-nació-con-la-mejor-estrella.-Una-estrella-de-5-rosas:-la-elegancia-de-la-Rosa-Centifolia,-la-audacia-de-la-Rosa-Peonía,-la-espontaneidad-de-la-Rosa-Fantasía,-la-sensualidad-de-la-Rosa-Emoción-y-la-intensidad-de-la-Rosa-Pasión.","$-3.930,00",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/3274870352362.jpg,3274870352362
Cuidado-del-Bebé,https://www.gpsfarma.com/cuidado-del-bebe.html,,https://www.gpsfarma.com/cuidado-del-bebe/aveno-infantil-acondicionador.html,Aveno-Infantil-Acondicionador,Acondicionador-infantil,"$-437,77",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7793742005442_2.jpg,7793742005442
Cuidado-del-Cabello,https://www.gpsfarma.com/cuidado-del-cabello.html,,https://www.gpsfarma.com/catalog/product/view/id/14882/s/c-style-crema-reactivadora-de-rulos/category/148/,C-Style-Crema-Reactivadora-de-Rulos,"Fórmula-de-efecto-prolongado,-desarrollada-para-hidratar-y-proteger-al-máximo-el-cabello-rizado.-Asegura-la-formación-de-rulos-disciplinados,-flexibles-y-de-textura-elástica,-que-resaltan-el-corte-del-cabello,-mantienen-su-forma-y-destacan-su-belleza.-Permite-modelar-fácilmente-el-cabello-para-lograr-un-peinado-con-movimiento-natural-y-extraordinario-brillo.-Controla-el-frizz-incluso-en-días-húmedos,-creando-un-estilo-libre-de-imperfecciones.","$-175,00",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7792640003215.jpg,7792640003215
Cuidado-de-la-Piel,https://www.gpsfarma.com/cuidado-de-la-piel.html,,https://www.gpsfarma.com/catalog/product/view/id/14018/s/m-humectante-4-urea/category/61/,M-Humectante-4%-Urea,Es-una-emulsión-agua-en-aceite-que-brinda una-mayor-potencia-de-humectación-para-pieles-o-zonas-con-mayor-resequedad-o-sensibles.-Contiene-4%-de-Urea.,"$-360,31",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/6/7612076492233.jpg,7612076492233
Cuidado-Personal,https://www.gpsfarma.com/cuidado-personal-1.html,,https://www.gpsfarma.com/cuidado-personal-1/glicerina-menta-eucalipto.html,Glicerina-Menta-&-Eucalipto,"La-línea-de-jabones-de-glicerina-Veritas-se-destaca-por-su-transparencia-natural-debida-a-su-proceso-de-elaboración-único-en-el-mercado.-Su-delicada-composición-de-glicerina,-extractos-y-suaves-fragancias-brinda-una-sensación-de-suavidad-a-la-piel-a-la-vez-que-la-limpia-profundamente.-Al-estar-formulada-con-ingredientes-de-origen-natural,-resulta-ideal-para-el-uso-diario.-Menta-y-Eucalipto:-su-delicada-combinación-natural-de-glicerina,-menta-y-eucalipto-brinda-un-lavado-diario-no-agresivo,-manteniendo-la-suavidad-natural-de-tu-piel.","$-170,05",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7791520077292.jpg,7791520077292
